longitude,latitude,geometry,id
103.861,1.285,"LINESTRING (103.8607 1.2854, 103.8608 1.2854)",8
103.854,1.286,"LINESTRING (103.8537 1.286, 103.8539 1.2859)",11
103.854,1.286,"LINESTRING (103.8535 1.286, 103.8537 1.2859)",12
103.86,1.296,"LINESTRING (103.8596 1.296, 103.8597 1.296)",36
103.862,1.296,"LINESTRING (103.8624 1.2962, 103.8624 1.2962)",41
103.862,1.284,"LINESTRING (103.8616 1.2843, 103.8614 1.2844)",52
103.861,1.285,"LINESTRING (103.8608 1.2854, 103.861 1.2854)",72
103.85,1.275,"LINESTRING (103.8501 1.2747, 103.85 1.2746)",82
103.835,1.301,"LINESTRING (103.8349 1.3007, 103.835 1.3006)",6
103.838,1.306,"LINESTRING (103.8376 1.3057, 103.8377 1.3056)",17
103.832,1.305,"LINESTRING (103.8322 1.3047, 103.8323 1.3049)",22
103.84,1.3,"LINESTRING (103.8398 1.2996, 103.8399 1.2995)",23
103.841,1.299,"LINESTRING (103.8413 1.2993, 103.8414 1.2992)",24
103.833,1.304,"LINESTRING (103.8326 1.3036, 103.8327 1.3035)",27
103.842,1.302,"LINESTRING (103.842 1.3017, 103.842 1.3016)",32
103.859,1.347,"LINESTRING (103.8593 1.3465, 103.8595 1.3466)",13
103.853,1.341,"LINESTRING (103.8533 1.3409, 103.8535 1.3409)",78
103.861,1.326,"LINESTRING (103.8605 1.3262, 103.8606 1.326)",87
103.859,1.347,"LINESTRING (103.8593 1.3465, 103.8595 1.3466)",99
103.853,1.341,"LINESTRING (103.8533 1.3409, 103.8535 1.3408)",46
103.876,1.32,"LINESTRING (103.8763 1.3199, 103.8762 1.3198)",61
103.825,1.321,"LINESTRING (103.8253 1.3212, 103.8253 1.3211)",16
103.828,1.328,"LINESTRING (103.8283 1.3277, 103.8283 1.3276)",21
103.837,1.336,"LINESTRING (103.8371 1.3363, 103.8373 1.3363)",31
103.824,1.322,"LINESTRING (103.8237 1.3216, 103.8236 1.3215)",35
103.82,1.331,"LINESTRING (103.8199 1.3308, 103.8199 1.3306)",39
103.861,1.39,"LINESTRING (103.8612 1.3902, 103.8612 1.3901)",71
103.903,1.36,"LINESTRING (103.9033 1.3595, 103.9031 1.3596)",9
